,City,Country,Lat,Lng,Hotel Name
0,new norfolk,LR,6.65,-10.59,
1,shetpe,KZ,44.17,52.12,
2,vanavara,RU,60.34,102.28,
3,banda aceh,IN,25.48,80.33,
4,garden city,DE,53.69,12.05,
5,qaanaaq,GL,77.48,-69.36,
6,sao joaquim,IN,20.51,76.21,
7,dikson,RU,73.51,80.55,
8,aktas,KZ,49.78,72.96,
9,meulaboh,ID,4.14,96.13,
10,takoradi,GH,4.88,-1.76,
11,rikitea,PF,-23.12,-134.97,
12,jamestown,US,42.1,-79.24,
13,vaini,TO,-21.2,-175.2,
14,provideniya,RU,64.38,-173.3,
15,atuona,PF,-9.8,-139.03,
16,lerwick,GB,60.15,-1.15,
17,dunedin,NZ,-45.87,170.5,
18,busselton,AU,-33.65,115.33,
19,inirida,CO,3.87,-67.92,
20,saint-philippe,RE,-21.36,55.77,
21,deputatskiy,RU,69.3,139.9,
22,santa isabel do rio negro,PH,17.49,120.43,
23,singaraja,ID,-8.11,115.09,
24,east london,IS,65.0,-15.0,
25,milledgeville,US,33.08,-83.23,
26,thinadhoo,MV,0.53,72.93,
27,ushuaia,AR,-54.8,-68.3,
28,nuuk,GL,64.18,-51.72,
29,katsuura,JP,35.13,140.3,
30,albany,US,42.6,-73.97,
31,luganville,VU,-15.53,167.17,
32,kapaa,US,22.08,-159.32,
33,vestmannaeyjar,IS,63.44,-20.27,
34,holme,DK,56.11,10.17,
35,torbay,CA,47.67,-52.73,
36,bolobo,CD,-2.17,16.23,
37,airai,TL,-8.93,125.41,
38,tiksi,RU,71.69,128.87,
39,piacabucu,BR,-10.41,-36.43,
40,cove,BJ,7.22,2.34,
41,karratha,AU,-20.74,116.85,
42,bridgetown,BB,13.1,-59.62,
43,vao,NC,-22.67,167.48,
44,arraial do cabo,BR,-22.84,-46.65,
45,barzas,RU,55.72,86.32,
46,barra patuca,BR,-11.09,-43.14,
47,punta arenas,PH,8.99,125.34,
48,chokurdakh,RU,70.63,147.92,
49,samarai,PG,-10.62,150.67,
50,khilok,RU,51.37,110.47,
51,asau,RO,46.43,26.4,
52,veraval,IN,20.9,70.37,
53,cape town,CL,-36.41,-71.9,
54,nanortalik,GL,60.14,-45.24,
55,geraldton,AU,-28.77,114.6,
56,namie,JP,37.48,141.0,
57,chara,RU,56.91,118.26,
58,narsaq,GL,60.92,-46.05,
59,ginda,IN,30.69,78.49,
60,khatanga,RU,71.97,102.5,
61,pinawa,CA,50.15,-95.88,
62,sassandra,CI,4.95,-6.08,
63,verkhnevilyuysk,RU,63.45,120.32,
64,puerto ayora,ES,36.59,-6.23,
65,pimenta bueno,BR,-20.48,-45.8,
66,jalhay,BE,50.56,5.97,
67,mount gambier,GB,53.66,-1.85,
68,gumdag,TM,39.21,54.59,
69,caravelas,BR,-17.71,-39.25,
70,caernarfon,GB,53.14,-4.27,
71,portland,US,45.52,-122.68,
72,severo-kurilsk,RU,50.68,156.12,
73,marawi,PH,8.0,124.29,
74,port alfred,CD,-7.03,29.76,
75,hermanus,ZA,-34.42,19.23,
76,lebu,CL,-37.62,-73.65,
77,thompson,CA,55.74,-97.86,
78,emba,KZ,48.83,58.14,
79,tuktoyaktuk,CA,69.45,-133.04,
80,kruisfontein,ZA,-34.0,24.73,
81,devrek,TR,41.22,31.96,
82,coquimbo,CL,-29.95,-71.34,
83,khasan,RU,42.43,130.64,
84,clyde river,US,41.3,-82.98,
85,diffa,NE,13.32,12.61,
86,ixtapa,MX,20.7,-105.2,
87,dudinka,RU,69.41,86.18,
88,saskylakh,RU,71.92,114.08,
89,turukhansk,RU,65.82,87.98,
90,zharkovskiy,RU,55.85,32.27,
91,klaksvik,FO,62.23,-6.59,
92,sterling,US,39.01,-77.43,
93,olafsvik,IS,64.89,-23.71,
94,havoysund,NO,71.0,24.66,
95,yilan,TW,24.76,121.75,
96,victoria,HK,22.29,114.16,
97,ballina,AU,-28.87,153.57,
98,port elizabeth,CD,-7.03,29.76,
99,makakilo city,US,21.35,-158.09,
100,vestmanna,FO,62.16,-7.17,
101,uray,RU,60.12,64.78,
102,mbanza-ngungu,CD,-5.25,14.87,
103,adrar,MR,20.5,-10.07,
104,kishi,NG,9.08,3.85,
105,khandyga,RU,62.67,135.6,
106,mys shmidta,RU,62.06,48.62,
107,christchurch,NZ,-43.53,172.63,
108,tautira,PF,-17.73,-149.15,
109,paita,PE,-5.09,-81.11,
