,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,new norfolk,19,LR,1579874357,17,6.65,-10.59,99.91,5.79
1,shetpe,100,KZ,1579874357,82,44.17,52.12,28.6,25.66
2,vanavara,100,RU,1579874358,95,60.34,102.28,8.2,5.88
3,banda aceh,0,IN,1579874358,56,25.48,80.33,56.7,4.43
4,garden city,90,DE,1579874358,93,53.69,12.05,41.0,8.05
5,qaanaaq,0,GL,1579874358,54,77.48,-69.36,-10.75,8.12
6,sao joaquim,0,IN,1579874358,43,20.51,76.21,71.51,4.61
7,dikson,100,RU,1579874358,97,73.51,80.55,-5.24,9.8
8,aktas,75,KZ,1579874358,79,49.78,72.96,28.4,26.84
9,meulaboh,77,ID,1579874040,68,4.14,96.13,85.26,4.7
10,takoradi,0,GH,1579874358,52,4.88,-1.76,91.38,10.98
11,rikitea,0,PF,1579874359,74,-23.12,-134.97,77.22,17.16
12,jamestown,90,US,1579874359,40,42.1,-79.24,39.0,8.05
13,vaini,40,TO,1579874359,83,-21.2,-175.2,78.8,8.05
14,provideniya,94,RU,1579874359,97,64.38,-173.3,-6.32,4.03
15,atuona,30,PF,1579874359,79,-9.8,-139.03,80.31,11.65
16,lerwick,20,GB,1579874359,70,60.15,-1.15,44.6,21.92
17,dunedin,100,NZ,1579874359,72,-45.87,170.5,68.0,10.16
18,busselton,67,AU,1579874359,86,-33.65,115.33,62.58,14.18
19,inirida,8,CO,1579874359,53,3.87,-67.92,91.15,3.4
20,saint-philippe,100,RE,1579874360,94,-21.36,55.77,82.4,20.8
21,deputatskiy,4,RU,1579874029,95,69.3,139.9,-35.97,2.24
22,santa isabel do rio negro,99,PH,1579874360,82,17.49,120.43,71.92,5.3
23,singaraja,0,ID,1579874360,68,-8.11,115.09,85.24,5.03
24,east london,75,IS,1579874360,74,65.0,-15.0,28.4,21.92
25,milledgeville,90,US,1579874360,100,33.08,-83.23,54.0,3.36
26,thinadhoo,100,MV,1579873989,81,0.53,72.93,83.91,12.59
27,ushuaia,75,AR,1579874221,70,-54.8,-68.3,48.2,6.93
28,nuuk,75,GL,1579874360,72,64.18,-51.72,14.0,13.87
29,katsuura,100,JP,1579874361,82,35.13,140.3,51.8,24.16
30,albany,1,US,1579874361,73,42.6,-73.97,30.99,4.7
31,luganville,51,VU,1579874361,96,-15.53,167.17,72.12,0.98
